Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec),
776247.117,4877304.478,0,-115.6,0.104,0.002,0,
785235.635,4933781.002,0,-115.8,0.103,0.002,0,
794328.235,4990911.493,0,-116,0.102,0.002,0,
803526.122,5048703.525,0,-116.2,0.101,0.002,0,
812830.516,5107164.756,0,-116.4,0.1,0.002,0,
822242.65,5166302.937,0,-116.6,0.099,0.002,0,
831763.771,5226125.906,0,-116.8,0.097,0.002,0,
841395.142,5286641.592,0,-117,0.096,0.002,0,
851138.038,5347858.016,0,-117.2,0.095,0.002,0,
860993.752,5409783.293,0,-117.4,0.094,0.002,0,
870963.59,5472425.632,0,-117.6,0.093,0.002,0,
881048.873,5535793.334,0,-117.8,0.092,0.002,0,
891250.938,5599894.799,0,-118,0.091,0.002,0,
901571.138,5664738.525,0,-118.2,0.09,0.002,0,
912010.839,5730333.106,0,-118.4,0.089,0.002,0,
922571.427,5796687.236,0,-118.6,0.088,0.002,0,
933254.301,5863809.711,0,-118.8,0.087,0.002,0,
944060.876,5931709.427,0,-119,0.086,0.001,0,
954992.586,6000395.385,0,-119.2,0.085,0.001,0,
966050.879,6069876.689,0,-119.4,0.084,0.001,0,
977237.221,6140162.548,0,-119.6,0.083,0.001,0,
988553.095,6211262.28,0,-119.8,0.082,0.001,0,
